City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
157,Cidreira,BR,69.94,broken clouds,-30.18,-50.21,Hotel Castelo
158,Palaikastron,GR,70.0,scattered clouds,35.2,26.25,Marina Village
161,Bethel,US,63.0,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
163,Baherden,TM,65.43,broken clouds,38.44,57.43,
166,Bredasdorp,ZA,68.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
170,Geraldton,AU,64.4,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
172,Pisco,PE,68.0,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
177,Rocha,UY,64.08,clear sky,-34.48,-54.33,Beleza Pura B&B
180,Hirara,JP,78.91,heavy intensity rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
182,Dong Hoi,VN,70.18,overcast clouds,17.48,106.6,Nam Long Hotel
186,Nabire,ID,75.78,light rain,-3.37,135.48,Hotel Nusantara Nabire
204,Sydney,AU,64.4,overcast clouds,-33.87,151.21,QT Sydney
207,Yazoo City,US,77.0,clear sky,32.86,-90.41,Hampton Inn Yazoo City
209,Mercedes,AR,64.0,clear sky,-34.65,-59.43,Posada del Inti Centro
211,Ponta Do Sol,PT,69.8,scattered clouds,32.67,-17.1,Hotel do Campo
213,Adeje,ES,77.0,broken clouds,28.12,-16.73,Gran Tacande Wellness & Relax Costa Adeje
218,Aste,IT,64.0,broken clouds,45.79,11.1,B&B Arlanch 8
221,Kireka,UG,78.8,few clouds,0.35,32.65,Ntinda View Apartments
223,Trogir,HR,66.0,clear sky,43.51,16.25,Hotel Medena
226,Lichinga,MZ,78.8,scattered clouds,-13.31,35.24,Residencial Bendiak
227,Saravan,AM,62.6,few clouds,39.72,45.65,
229,Sur,OM,77.29,clear sky,22.57,59.53,Sur Plaza Hotel
230,Bonga,ET,62.35,light rain,7.28,36.23,Harone Hotel ሀሮኔ ሆቴል
231,East London,ZA,69.8,clear sky,-33.02,27.91,Tu Casa
235,Camacha,PT,69.8,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
237,Villazon,BO,60.13,broken clouds,-22.09,-65.59,La Candelaria
238,Iquitos,PE,78.8,light rain,-3.75,-73.25,Cortez Malaga Techy Caroly
241,Waddan,LY,74.39,clear sky,29.16,16.14,محل الشريف محمد العايب
246,Port Shepstone,ZA,68.09,overcast clouds,-30.74,30.45,My Den Beachfront B&B And Self-Catering
249,Dingle,PH,76.6,clear sky,11.0,122.67,Camp Pasica
253,Airai,TL,60.06,scattered clouds,-8.93,125.41,Juvinal Martin
264,Batouri,CM,79.2,broken clouds,4.43,14.37,Hotel Hollywood
265,Monte Gordo,PT,66.2,light rain,37.18,-7.45,Alcazar Hotel & Spa
266,Luba,GQ,79.16,scattered clouds,3.46,8.55,
268,Tarata,BO,68.0,scattered clouds,-17.62,-66.02,TARA TARA Centro Alternativo Hosting
271,Acari,PE,76.78,scattered clouds,-15.43,-74.62,Hospedaje Ximens
272,Saint-Joseph,RE,75.2,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
273,Faya,SA,73.4,clear sky,18.39,42.45,مقبرة ال مجمل
274,Kailua,US,77.0,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
282,Karratha,AU,70.32,few clouds,-20.74,116.85,ibis Styles Karratha
284,Milford,US,68.0,overcast clouds,41.22,-73.06,Homewood Suites by Hilton Stratford
285,Tshikapa,CD,79.16,light rain,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
288,Cockburn Town,TC,77.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
291,Orvieto,IT,63.0,clear sky,42.72,12.11,Hotel Posta
293,Broken Hill,AU,66.2,scattered clouds,-31.95,141.43,Daydream Motel & Cottages
294,Rio Grande,BR,62.01,overcast clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
295,Mathbaria,BD,77.63,light rain,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
297,Richards Bay,ZA,67.62,few clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
298,Kainantu,PG,61.32,overcast clouds,-6.29,145.87,Nasuke GUEST House
304,Havelock,US,79.0,broken clouds,34.88,-76.9,Sherwood Motel
305,Abha,SA,73.4,clear sky,18.22,42.51,Abha Hotel
306,Gat,IL,79.0,few clouds,31.61,34.76,OlusHome
309,Minuri,PH,75.25,moderate rain,16.54,121.86,
310,Charters Towers,AU,67.82,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
