City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Esperance,AU,-33.87,121.9,57.2,100,75,12.75,light rain
136,Xuddur,SO,4.12,43.89,81.03,60,22,3.44,light rain
137,Iwade,JP,34.25,135.32,66.2,68,100,5.82,overcast clouds
138,Port Blair,IN,11.67,92.75,81.07,83,62,9.53,light rain
139,Kokopo,PG,-4.35,152.26,77.43,83,84,3.8,moderate rain
140,Coquimbo,CL,-29.95,-71.34,57.2,76,75,6.93,broken clouds
141,Barrow,US,71.29,-156.79,33.8,86,90,13.87,light rain
142,Troitskoye,RU,52.98,84.68,44.15,66,69,8.23,broken clouds
143,Nanortalik,GL,60.14,-45.24,33.96,88,100,9.4,overcast clouds
144,Saint-Philippe,RE,-21.36,55.77,75.2,69,37,13.87,scattered clouds
145,Smithers,CA,54.78,-127.17,32,94,75,0.58,broken clouds
146,Westport,US,41.14,-73.36,64.99,93,90,5.82,overcast clouds
147,Nizwa,OM,22.93,57.53,74.66,19,0,3.56,clear sky
148,Kiruna,SE,67.86,20.23,21.2,100,100,5.82,mist
149,Galle,LK,6.04,80.22,80.24,84,7,11.72,light rain
150,Broome,US,42.25,-75.83,69.01,77,40,12.75,scattered clouds
151,Esna,EG,25.29,32.55,90.07,12,0,8.37,clear sky
152,Saint George,US,37.1,-113.58,51.8,23,1,3.36,clear sky
153,Dayong,CN,25.02,118.29,77,69,75,11.18,light rain
154,Haines Junction,CA,60.75,-137.51,20.66,88,85,2.51,overcast clouds
155,Winnemucca,US,40.97,-117.74,37.4,47,1,3.91,clear sky
156,Upernavik,GL,72.79,-56.15,29.41,95,99,11.3,overcast clouds
157,Cidreira,BR,-30.18,-50.21,69.94,83,56,15.57,broken clouds
158,Palaikastron,GR,35.2,26.25,70,62,25,8.01,scattered clouds
159,Belyy Yar,RU,53.6,91.39,33.8,86,66,2.24,smoke
160,Georgetown,MY,5.41,100.34,84.2,79,40,2.24,scattered clouds
161,Bethel,US,41.37,-73.41,63,93,90,5.82,overcast clouds
162,Vung Tau,VN,10.35,107.08,80.94,86,99,7.25,overcast clouds
163,Baherden,TM,38.44,57.43,65.43,37,79,10.42,broken clouds
164,Rock Sound,BS,24.9,-76.2,81.14,78,100,20.85,overcast clouds
165,Kyra,RU,49.58,111.98,22.91,86,1,3.8,clear sky
166,Bredasdorp,ZA,-34.53,20.04,68,56,0,9.17,clear sky
167,Fairbanks,US,64.84,-147.72,23,85,90,2.24,overcast clouds
168,Santarem,BR,-2.44,-54.71,89.6,62,20,17.22,few clouds
169,Agirish,RU,61.92,63.02,26.38,97,69,4.59,broken clouds
170,Geraldton,AU,-28.77,114.6,64.4,72,40,10.29,scattered clouds
171,Takoradi,GH,4.88,-1.76,80.87,84,50,12.08,light rain
172,Pisco,PE,-13.7,-76.22,68,68,0,9.17,clear sky
173,Labuhan,ID,-6.88,112.21,82.06,74,82,4.12,moderate rain
174,Cabo San Lucas,MX,22.89,-109.91,82.4,51,5,3.36,clear sky
175,Sao Jose De Ribamar,BR,-2.56,-44.05,89.6,59,75,17.22,broken clouds
176,Kopavogur,IS,64.11,-21.91,41,80,75,9.17,light rain
177,Rocha,UY,-34.48,-54.33,64.08,57,6,15.23,clear sky
178,Yagodnoye,RU,62.55,149.67,10.92,83,1,1.23,clear sky
179,Tuktoyaktuk,CA,69.45,-133.04,23,85,90,13.87,light snow
180,Hirara,JP,24.8,125.28,78.91,90,100,16.24,heavy intensity rain
181,Lompoc,US,34.64,-120.46,53.6,100,90,1.7,mist
182,Dong Hoi,VN,17.48,106.6,70.18,80,100,9.62,overcast clouds
183,Ravar,IR,31.27,56.81,58.08,26,0,5.61,clear sky
184,Narsaq,GL,60.92,-46.05,32,89,90,2.1,light snow
185,Valparaiso,CL,-33.04,-71.63,57,87,90,2.24,overcast clouds
186,Nabire,ID,-3.37,135.48,75.78,88,93,3.76,light rain
187,Rongcheng,CN,30.63,117.85,54.9,76,72,1.32,light rain
188,Pangnirtung,CA,66.15,-65.71,30.2,80,90,4.7,light snow
189,Aswan,EG,24.09,32.91,90.99,11,0,7.4,clear sky
190,Arlit,NE,18.74,7.39,101.05,8,0,8.99,clear sky
191,Oranjemund,NA,-28.55,16.43,69.85,41,0,27.65,clear sky
192,Varnamo,SE,57.19,14.04,53.01,96,100,6.33,light rain
193,Progreso,MX,21.28,-89.67,84.99,74,75,6.93,broken clouds
194,Grindavik,IS,63.84,-22.43,41,86,75,19.46,broken clouds
195,Tiruchchendur,IN,8.48,78.12,83.73,63,83,11.45,broken clouds
196,Porto Novo,BJ,6.5,2.6,86,74,20,12.75,few clouds
197,Vardo,NO,70.37,31.11,28.4,86,20,17.22,fog
198,Bom Jesus,BR,-9.07,-44.36,102.96,18,34,7.02,scattered clouds
199,Longyearbyen,SJ,78.22,15.64,21.2,73,20,9.17,few clouds
200,Abu Zabad,SD,12.35,29.25,89.49,15,4,6.58,clear sky
201,Dromolaxia,CY,34.88,33.59,82.4,32,20,5.82,few clouds
202,Buchanan,LR,5.88,-10.05,87.8,74,75,8.05,broken clouds
203,Xichang,CN,27.9,102.26,47.39,79,79,1.21,broken clouds
204,Sydney,AU,-33.87,151.21,64.4,77,88,5.82,overcast clouds
205,Severo-Kurilsk,RU,50.68,156.12,40.75,74,63,19.95,broken clouds
206,Butaritari,KI,3.07,172.79,82,69,88,5.82,overcast clouds
207,Yazoo City,US,32.86,-90.41,77,88,1,4.7,clear sky
208,Havre-Saint-Pierre,CA,50.23,-63.6,41,60,20,5.37,few clouds
209,Mercedes,AR,-34.65,-59.43,64,86,10,3,clear sky
210,Sulangan,PH,11.14,123.72,83.86,76,73,8.75,broken clouds
211,Ponta Do Sol,PT,32.67,-17.1,69.8,56,40,10.29,scattered clouds
212,Hobyo,SO,5.35,48.53,80.89,79,0,14.92,clear sky
213,Adeje,ES,28.12,-16.73,77,53,75,11.41,broken clouds
214,Mariel,CU,22.99,-82.75,84.2,74,20,6.93,few clouds
215,Shelburne,CA,44.08,-80.2,55.4,87,90,8.05,overcast clouds
216,Seoul,KR,37.57,126.98,53.6,93,75,5.91,broken clouds
217,Nome,US,64.5,-165.41,41,86,90,8.05,overcast clouds
218,Aste,IT,45.79,11.1,64,99,78,15.01,broken clouds
219,Kargasok,RU,59.06,80.86,40.15,96,97,5.14,overcast clouds
220,Penzance,GB,50.12,-5.54,55.99,100,90,14.99,fog
221,Kireka,UG,0.35,32.65,78.8,65,20,11.41,few clouds
222,Bolama,GW,11.58,-15.47,83.73,75,99,11.92,overcast clouds
223,Trogir,HR,43.51,16.25,66,55,5,2.24,clear sky
224,Dudinka,RU,69.41,86.18,14,85,100,13.42,overcast clouds
225,Providencia,MX,28.72,-111.58,82.99,33,5,5.82,clear sky
226,Lichinga,MZ,-13.31,35.24,78.8,34,40,13.87,scattered clouds
227,Saravan,AM,39.72,45.65,62.6,48,16,6.93,few clouds
228,Morgan City,US,29.7,-91.21,84,83,20,11.41,few clouds
229,Sur,OM,22.57,59.53,77.29,64,1,8.46,clear sky
230,Bonga,ET,7.28,36.23,62.35,89,75,1.28,light rain
231,East London,ZA,-33.02,27.91,69.8,68,0,16.11,clear sky
232,Waipawa,NZ,-41.41,175.52,53.6,81,1,16.11,clear sky
233,Gazojak,TM,41.19,61.4,52.81,48,44,15.95,scattered clouds
234,Udachnyy,RU,66.42,112.4,6.8,92,90,2.08,light shower snow
235,Camacha,PT,33.08,-16.33,69.8,56,20,17.22,few clouds
236,Aklavik,CA,68.22,-135.01,14,92,40,4.7,scattered clouds
237,Villazon,BO,-22.09,-65.59,60.13,38,51,8.99,broken clouds
238,Iquitos,PE,-3.75,-73.25,78.8,83,75,3.36,light rain
239,Chernyshevskiy,RU,63.01,112.47,9.93,97,82,2.82,broken clouds
240,Sabang,ID,5.89,95.32,82.71,78,73,12.62,broken clouds
241,Waddan,LY,29.16,16.14,74.39,27,0,3.71,clear sky
242,Chapleau,CA,47.84,-83.4,33.8,86,90,2.24,overcast clouds
243,Turukhansk,RU,65.82,87.98,24.06,98,100,12.62,light snow
244,Kavieng,PG,-2.57,150.8,80.26,80,100,12.19,overcast clouds
245,Coos Bay,US,43.37,-124.22,51.8,87,1,9.17,clear sky
246,Port Shepstone,ZA,-30.74,30.45,68.09,75,87,17.09,overcast clouds
247,Hambantota,LK,6.12,81.12,80.6,88,1,5.82,clear sky
248,Sistranda,NO,63.73,8.83,39.2,93,75,4.7,shower rain
249,Dingle,PH,11,122.67,76.6,90,10,7.07,clear sky
250,Zhanaozen,KZ,43.3,52.8,47.66,58,14,10.71,few clouds
251,Anshun,CN,26.25,105.93,49.73,77,0,8.48,clear sky
252,Korla,CN,41.76,86.15,48.99,86,0,4,clear sky
253,Airai,TL,-8.93,125.41,60.06,99,29,1.05,scattered clouds
254,Lichuan,CN,30.3,108.85,44.69,82,1,1.7,clear sky
255,Pedasi,PA,7.53,-80.03,82.29,77,99,14.92,overcast clouds
256,Florida,US,28.75,-82.5,80.01,74,1,8.05,clear sky
257,College Place,US,46.05,-118.39,50,70,1,14.99,clear sky
258,Port-Gentil,GA,-0.72,8.78,84.2,74,40,12.75,scattered clouds
259,Klaksvik,FO,62.23,-6.59,41,75,46,9.17,light rain
260,Nizhniy Odes,RU,63.64,54.86,26.02,97,100,7,overcast clouds
261,Lieksa,FI,63.32,30.02,31.05,97,100,10.78,overcast clouds
262,Thinadhoo,MV,0.53,72.93,83.21,77,21,15.19,few clouds
263,Berlevag,NO,70.86,29.09,32,92,90,13.87,overcast clouds
264,Batouri,CM,4.43,14.37,79.2,73,73,2.55,broken clouds
265,Monte Gordo,PT,37.18,-7.45,66.2,88,20,9.17,light rain
266,Luba,GQ,3.46,8.55,79.16,81,31,6.69,scattered clouds
267,Hovd,MN,48.01,91.64,31.01,86,0,1.68,clear sky
268,Tarata,BO,-17.62,-66.02,68,37,38,4.56,scattered clouds
